familia,unidade_geografica,ano,variavel,valor,unidade_medida,selo,nivel_fonte,fonte,metodo,nota
demografia,Cidade de Tete,2025,cagr_2017_2025,5.177,%/ano,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv; HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",CAGR geométrico entre 2017 (observado) e 2025 (modelado): (pop2025/pop2017)^(1/8)-1,Dois pontos não fazem série de tendência; este número mistura uma ponta observada com uma ponta modelada e HERDA o risco de circularidade da nota de 2025 acima. Não usar como evidência independente de aceleração/desaceleração para H1/H4 sem essa ressalva.
demografia,Cidade de Tete,2017,populacao_homens,151816,pessoas,observado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv","contagem censitária (IV RGPH 2017), reprocessada por COD-PS","Contagem residente do IV RGPH 2017 reprocessada pelo COD-PS (CC BY-IGO, nível A independente do documento do INE, que é nível C — data/DATA_AUDIT.md §0.1). NÃO ajustada pela sub-enumeração: para a Província de Tete (unidade pertinente a este estudo, todas as suas unidades sendo em Tete) a taxa é 3,8%; a taxa nacional é uma grandeza distinta, 3,7% — não são duas medidas da mesma coisa, e não se fundem numa faixa (verificado: o total do quadro provincial bate com a 'População Residente' não ajustada, não com o total ajustado da brochura nacional — data/provenance_parts/demograficas.md)."
demografia,Cidade de Tete,2025,populacao_homens,229296,pessoas,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",projeção demográfica institucional do INE (método interno não publicado),"Projeção institucional do INE, não recontagem. Método de projeção não publicado no dataset. Risco de circularidade para H4 (§1): se a projeção assume taxa geométrica fixa, não pode por construção revelar desaceleração real — usar só com esta ressalva visível (data/DATA_AUDIT.md §0, item 2)."
demografia,Cidade de Tete,2017,populacao_mulheres,155522,pessoas,observado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv","contagem censitária (IV RGPH 2017), reprocessada por COD-PS","Contagem residente do IV RGPH 2017 reprocessada pelo COD-PS (CC BY-IGO, nível A independente do documento do INE, que é nível C — data/DATA_AUDIT.md §0.1). NÃO ajustada pela sub-enumeração: para a Província de Tete (unidade pertinente a este estudo, todas as suas unidades sendo em Tete) a taxa é 3,8%; a taxa nacional é uma grandeza distinta, 3,7% — não são duas medidas da mesma coisa, e não se fundem numa faixa (verificado: o total do quadro provincial bate com a 'População Residente' não ajustada, não com o total ajustado da brochura nacional — data/provenance_parts/demograficas.md)."
demografia,Cidade de Tete,2025,populacao_mulheres,230952,pessoas,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",projeção demográfica institucional do INE (método interno não publicado),"Projeção institucional do INE, não recontagem. Método de projeção não publicado no dataset. Risco de circularidade para H4 (§1): se a projeção assume taxa geométrica fixa, não pode por construção revelar desaceleração real — usar só com esta ressalva visível (data/DATA_AUDIT.md §0, item 2)."
demografia,Cidade de Tete,2017,populacao_total_residente,307338,pessoas,observado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv","contagem censitária (IV RGPH 2017), reprocessada por COD-PS","Contagem residente do IV RGPH 2017 reprocessada pelo COD-PS (CC BY-IGO, nível A independente do documento do INE, que é nível C — data/DATA_AUDIT.md §0.1). NÃO ajustada pela sub-enumeração: para a Província de Tete (unidade pertinente a este estudo, todas as suas unidades sendo em Tete) a taxa é 3,8%; a taxa nacional é uma grandeza distinta, 3,7% — não são duas medidas da mesma coisa, e não se fundem numa faixa (verificado: o total do quadro provincial bate com a 'População Residente' não ajustada, não com o total ajustado da brochura nacional — data/provenance_parts/demograficas.md)."
demografia,Cidade de Tete,2025,populacao_total_residente,460248,pessoas,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",projeção demográfica institucional do INE (método interno não publicado),"Projeção institucional do INE, não recontagem. Método de projeção não publicado no dataset. Risco de circularidade para H4 (§1): se a projeção assume taxa geométrica fixa, não pode por construção revelar desaceleração real — usar só com esta ressalva visível (data/DATA_AUDIT.md §0, item 2)."
demografia,Distrito de Moatize,2025,cagr_2017_2025,3.71,%/ano,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv; HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",CAGR geométrico entre 2017 (observado) e 2025 (modelado): (pop2025/pop2017)^(1/8)-1,Dois pontos não fazem série de tendência; este número mistura uma ponta observada com uma ponta modelada e HERDA o risco de circularidade da nota de 2025 acima. Não usar como evidência independente de aceleração/desaceleração para H1/H4 sem essa ressalva.
demografia,Distrito de Moatize,2017,populacao_homens,127210,pessoas,observado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2017, alinhado ao IV RGPH — data/raw/hdx_cod-ps-moz_admpop_adm2_2017_v2.csv","contagem censitária (IV RGPH 2017), reprocessada por COD-PS","Contagem residente do IV RGPH 2017 reprocessada pelo COD-PS (CC BY-IGO, nível A independente do documento do INE, que é nível C — data/DATA_AUDIT.md §0.1). NÃO ajustada pela sub-enumeração: para a Província de Tete (unidade pertinente a este estudo, todas as suas unidades sendo em Tete) a taxa é 3,8%; a taxa nacional é uma grandeza distinta, 3,7% — não são duas medidas da mesma coisa, e não se fundem numa faixa (verificado: o total do quadro provincial bate com a 'População Residente' não ajustada, não com o total ajustado da brochura nacional — data/provenance_parts/demograficas.md)."
demografia,Distrito de Moatize,2025,populacao_homens,171221,pessoas,modelado,A,"HDX COD-PS (UNFPA/OCHA), vintage 2025, projeção do INE — data/raw/hdx_cod-ps-moz_admpop_adm2_2025.csv",projeção demográfica institucional do INE (método interno não publicado),"Projeção institucional do INE, não recontagem. Método de projeção não publicado no dataset. Risco de circularidade para H4 (§1): se a projeção assume taxa geométrica fixa, não pode por construção revelar desaceleração real — usar só com esta ressalva visível (data/DATA_AUDIT.md §0, item 2)."
