bloco,id,serie,quebra,veredito,veredito_pre_adr0015,mudanca_apos_adr0015,detalhe
placebo,P1_espacial,S_WSF_taxa,2005,nao estimavel,passa,"passa -> nao estimavel (ramo vazio, ADR 0015)","ADR 0015: falha se >=2 controles com quebra de mesmo sinal, >=50% da magnitude de Tete e IC95 proprio que exclui zero, contados APENAS em ramos aplicaveis (coeficiente de referencia com IC95 que exclui zero). Todos os ramos vazios => nao estimavel."
placebo,P1_espacial,S_WSF_taxa,2011,FALHA,FALHA,inalterado,"ADR 0015: falha se >=2 controles com quebra de mesmo sinal, >=50% da magnitude de Tete e IC95 proprio que exclui zero, contados APENAS em ramos aplicaveis (coeficiente de referencia com IC95 que exclui zero). Todos os ramos vazios => nao estimavel."
placebo,P1_espacial,S_HARM_soma,2016,FALHA,FALHA,inalterado,"ADR 0015: falha se >=2 controles com quebra de mesmo sinal, >=50% da magnitude de Tete e IC95 proprio que exclui zero, contados APENAS em ramos aplicaveis (coeficiente de referencia com IC95 que exclui zero). Todos os ramos vazios => nao estimavel."
placebo,P1_espacial,S_HARM_soma,2022,nao estimavel,FALHA,"FALHA -> nao estimavel (ramo vazio, ADR 0015)","ADR 0015: falha se >=2 controles com quebra de mesmo sinal, >=50% da magnitude de Tete e IC95 proprio que exclui zero, contados APENAS em ramos aplicaveis (coeficiente de referencia com IC95 que exclui zero). Todos os ramos vazios => nao estimavel."
placebo,P2_temporal,S_WSF_taxa,2005,nao estimavel,passa,"passa -> nao estimavel (ramo vazio, ADR 0015)","ADR 0015: falha se o placebo produz b2 ou b3 de mesmo sinal, >=50% da magnitude real, com IC95 que exclui zero, em ramo aplicavel. Todos os ramos vazios => nao estimavel."
placebo,P2_temporal,S_WSF_taxa,2011,passa,FALHA,FALHA -> passa AFROUXAMENTO. NAO reabilita nada: o ramo que disparava usava um coeficiente de referencia de Tete cujo IC95 inclui zero. O veredito pre-ADR 0015 fica na coluna ao lado e continua publicavel.,"ADR 0015: falha se o placebo produz b2 ou b3 de mesmo sinal, >=50% da magnitude real, com IC95 que exclui zero, em ramo aplicavel. Todos os ramos vazios => nao estimavel."
placebo,P2_temporal,S_HARM_soma,2016,nao estimavel,nao estimavel,inalterado,"ADR 0015: falha se o placebo produz b2 ou b3 de mesmo sinal, >=50% da magnitude real, com IC95 que exclui zero, em ramo aplicavel. Todos os ramos vazios => nao estimavel."
placebo,P2_temporal,S_HARM_soma,2022,nao estimavel,passa,"passa -> nao estimavel (ramo vazio, ADR 0015)","ADR 0015: falha se o placebo produz b2 ou b3 de mesmo sinal, >=50% da magnitude real, com IC95 que exclui zero, em ramo aplicavel. Todos os ramos vazios => nao estimavel."
placebo,P3_capacidade,serie propria (S_SUST),todas,passa (descritivo),,,6 anos-ancora: nao se ajusta modelo segmentado de 4 parametros. Reportado como serie pareada (§1.3 item 5).
placebo,P3_capacidade,S_HARM_soma,todas,nao estimavel,,,"O produto Chen/Yu e um composto anual harmonizado; os recortes espelhados nao trazem a contagem de noites validas por pixel, e ela nao e derivavel do raster de radiancia. NAO ESTIMAVEL."
