par_anos,classe,fonte,area_t_km2,area_t1_km2,jaccard,churn,taxa_perda,taxa_ganho,razao_area_t1_sobre_t,nota
2000-2005,agua,rotulo bruto do RF (antes das pegadas de ADR 0011),0.361,0.376,0.092,0.908,0.8279,0.8349,1.0424,"Instabilidade ano a ano das classes ANTES de R1/R2, no domínio válido comum ao par. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado."
2000-2005,vegetacao,rotulo bruto do RF (antes das pegadas de ADR 0011),263.036,271.495,0.2624,0.7376,0.5776,0.5908,1.0322,"Instabilidade ano a ano das classes ANTES de R1/R2, no domínio válido comum ao par. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado."
2000-2005,solo_exposto,rotulo bruto do RF (antes das pegadas de ADR 0011),2182.931,2166.111,0.8589,0.1411,0.0794,0.0723,0.9923,"Instabilidade ano a ano das classes ANTES de R1/R2, no domínio válido comum ao par. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado."
2000-2005,construido,RF bruto + filtro de coerencia 3x3 (antes de R1/R2),16.916,23.873,0.5251,0.4749,0.1698,0.4117,1.4113,"Instabilidade ano a ano das classes ANTES de R1/R2, no domínio válido comum ao par. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado."
2005-2010,agua,rotulo bruto do RF (antes das pegadas de ADR 0011),0.218,1.348,0.0848,0.9152,0.438,0.9092,6.1901,"Instabilidade ano a ano das classes ANTES de R1/R2, no domínio válido comum ao par. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado."
2005-2010,vegetacao,rotulo bruto do RF (antes das pegadas de ADR 0011),270.944,1889.07,0.1375,0.8625,0.0361,0.8618,6.9722,"Instabilidade ano a ano das classes ANTES de R1/R2, no domínio válido comum ao par. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado."
2005-2010,solo_exposto,rotulo bruto do RF (antes das pegadas de ADR 0011),2163.973,535.561,0.2391,0.7609,0.7593,0.0275,0.2475,"Instabilidade ano a ano das classes ANTES de R1/R2, no domínio válido comum ao par. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado."
2005-2010,construido,RF bruto + filtro de coerencia 3x3 (antes de R1/R2),23.857,33.313,0.5266,0.4734,0.1734,0.4081,1.3964,"Instabilidade ano a ano das classes ANTES de R1/R2, no domínio válido comum ao par. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado."
2010-2015,agua,rotulo bruto do RF (antes das pegadas de ADR 0011),0.551,0.147,0.0375,0.9625,0.9542,0.8282,0.2663,"Instabilidade ano a ano das classes ANTES de R1/R2, no domínio válido comum ao par. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado."
2010-2015,vegetacao,rotulo bruto do RF (antes das pegadas de ADR 0011),1887.831,2230.382,0.7937,0.2063,0.0347,0.183,1.1815,"Instabilidade ano a ano das classes ANTES de R1/R2, no domínio válido comum ao par. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado."
2010-2015,solo_exposto,rotulo bruto do RF (antes das pegadas de ADR 0011),532.218,168.974,0.1797,0.8203,0.7993,0.3679,0.3175,"Instabilidade ano a ano das classes ANTES de R1/R2, no domínio válido comum ao par. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado."
2010-2015,construido,RF bruto + filtro de coerencia 3x3 (antes de R1/R2),33.131,51.711,0.4557,0.5443,0.1983,0.4864,1.5608,"Instabilidade ano a ano das classes ANTES de R1/R2, no domínio válido comum ao par. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado."
2015-2020,agua,rotulo bruto do RF (antes das pegadas de ADR 0011),0.171,1.417,0.025,0.975,0.7737,0.9727,8.2895,"Instabilidade ano a ano das classes ANTES de R1/R2, no domínio válido comum ao par. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado."
